"Year","Authors","Title","Cites"
2019,"A Maedche","interview with joerg mimmel on <u+0093>digitalization of purchasing at bosch<u+0094>",0
2019,"A Maedche","interview with tamim asfour on <u+0093>anthropomatics the state of the art in robotics and challenges for future research<u+0094>",0
2019,"A Maedche, C Legner, A Benlian, B Berger, H Gimpel, T Hess, O Hinz, ...","aibased digital assistants",32
2019,"A Maedche, S Gregor, S Morana, J Feine","conceptualization of the problem space in design science research",5
2019,"A Miclaus, E Pescara, A M<e4>dche, M Beigl","drive by maintenance towards adaptive work environments with improved industrial hci",0
2019,"B Morschheuser, J Hamari","the gamification of work lessons from crowdsourcing",14
2019,"B Morschheuser, J Hamari, A Maedche","cooperation or competition<u+0096>when do people contribute more a field experiment on gamification of crowdsourcing",35
2019,"B Zobel, K Werder, L Berkemeier, O Thomas","the role of early user participation in discovering software  a case study from the context of smart glasses",0
2019,"D Dann, A Maedche, T Teubner, B Mueller, C Meske, B Funk","disknet<u+0096>a platform for the systematic accumulation of knowledge in is research",0
2019,"D Hummel, A Maedche","how effective is nudging a quantitative review on the effect sizes and limits of empirical nudging studies",25
2019,"DB K<f6>se, B Morschheuser, J Hamari","is it a tool or a toy how user<u+0092>s conception of a system<u+0092>s purpose affects their experience and use",4
2019,"E Andr<e9>, S Bayer, I Benke, A Benlian, N Cummins, H Gimpel, O Hinz, ...","humane anthropomorphic agents the quest for the outcome measure",1
2019,"E Andr<e9>, S Bayer, I Benke, A Benlian, N Cummins, H Gimpel, O Hinz, ...","humane anthropomorphic agents the quest for the outcome measure; position paper",2
2019,"I Benke","social augmentation od enterprise communication systems for virtual teams using chatbots",2
2019,"I Benke, A Maedche","die rolle von affekt und kognition bei der gestaltung und nutzung von kollaborationswerkzeugen",0
2019,"I Seeber, L Waizenegger, S Seidel, S Morana, I Benbasat, PB Lowry","reinventing collaboration with autonomous technologybased agents",0
2019,"J Feine, S Morana, A Maedche","designing a chatbot social cue configuration system",3
2019,"J Feine, S Morana, A Maedche","leveraging machineexecutable descriptive knowledge in design science research<u+0096>the case of designing socially-adaptive chatbots",7
2019,"J Feine, S Morana, U Gnewuch","measuring service encounter satisfaction with customer service chatbots using sentiment analysis",13
2019,"J Feine, U Gnewuch, S Morana, A Maedche","a taxonomy of social cues for conversational agents",40
2019,"J Feine, U Gnewuch, S Morana, A Maedche","gender bias in chatbot design",2
2019,"J vom Brocke, A Maedche","the dsr grid six core dimensions for effective capturing of dsr projects",1
2019,"J vom Brocke, A Maedche","the dsr grid six core dimensions for effectively planning and communicating design science research projects",5
2019,"K Werder, CS Heckmann","ambidexterity in information systems research overview of conceptualizations, antecedents, and outcomes",2
2019,"K Werder, Y Li, A Maedche, B Ramesh","software development process ambidexterity and project performance a coordination cost-effectiveness view",1
2019,"M Burmester, M Laib, I Benke, M Minge","vom ersten schritt bis zum dauerlauf wie bringt man usability und user experience (uux) ins unternehmen?",1
2019,"M Knierim, M Nadj, M Li, C Weinhardt","flow in knowledge work groups<u+0096>autonomy as a driver or digitally mediated communication as a limiting factor",0
2019,"M Nadj, A Maedche","situation awareness in aircraft ground handling the impact of auditory and visual notification cues",1
2019,"M Reuter-Oppermann, S Morana, A Raith, S Sherer","introduction to the minitrack on optimization of and the use of it for healthcare processes",0
2019,"MA Meza Mart<ed>nez, M Nadj, A Maedche","towards an integrative theoretical framework of interactive machine learning systems",2
2019,"MT Knierim, M Nadj, C Weinhardt","flow and optimal difficulty in the portable eeg on the potentiality of using personalized frequency ranges for state detection.",0
2019,"MT Knierim, R Rissler, A Hariharan, M Nadj, C Weinhardt","exploring flow psychophysiology in knowledge work",1
2019,"P Toreini, M Langner","designing useradaptive information dashboards: considering limited attention and working memory",2
2019,"S Diederich, M Janssen-M<fc>ller, AB Brendel, S Morana","emulating empathetic behavior in online service encounters with sentimentadaptive responses: insights from an experiment with a conversational agent",7
2019,"S Fuchs, A M<e4>dche","konzentriert arbeiten dank k<fc>nstlicher intelligenzdas vom bundesarbeitsministerium gef<f6>rderte kern-projekt wird am kit koordiniert-campusreport am 11.06. 2019",0
2019,"S Fuchs, M Zitterbart, A M<e4>dche","steigende nachfrage nach probleml<f6>sungskompetenzenim wintersemester startet der neue studiengang wirtschaftsinformatik am karlsruher institut f<fc>r technologie-campusreport am<u+00a0><u+0085>",0
2019,"S Michalczyk, D Jung, M Nadj, MT Knierim, R Rissler","brownier the r-package for neuro information systems research",2
2019,"S Morana, J Kroenung, A Maedche, S Schacht","designing process guidance systems",6
2019,"T Rietz","designing a conversational requirements elicitation system for endusers",0
2019,"T Rietz, A Maedche","ladderbot a requirements self-elicitation system",3
2019,"T Rietz, I Benke, A Maedche","the impact of anthropomorphic and functional chatbot design features in enterprise collaboration systems on user acceptance",13
2019,"U Gnewuch, C Heckmann, S Morana, A Maedche","designing and implementing a b2b chatbot insights from a medium-sized service provider in the energy industry",0
2019,"U Gnewuch, S Morana, MTP Adam, A Maedche","the impact of chatbot response time on humanchatbot interaction: novice versus experienced users [in press]",0
2019,"X Liu, S He, A Maedche","designing an aibased advisory platform for design techniques",1
2020,"A Maedche","gender bias in chatbot design",0
2020,"I Benke","towards design principles for trustworthy affective chatbots in virtual teams",0
2020,"I Seeber, L Waizenegger, S Seidel, S Morana, I Benbasat, PB Lowry","collaborating with technologybased autonomous agents",0
2020,"J Feine, M Adam, I Benke, A Maedche, A Benlian","exploring design principles for enterprise chatbots an analytic hierarchy process study",0
2020,"J Vom Brocke, R Winter, A Hevner, A Maedche","special issue editorial<u+0096>accumulation and evolution of design knowledge in design science research a journey through time and space",15
2020,"K Werder, S Seidel, J Recker, N Berente, J Gibbs, N Abboud, ...","datadriven, data-informed, data-augmented: how ubisoft<u+0092>s ghost recon wildlands live unit uses data for continuous product innovation",1
2020,"M Kamm, M Gau, J Schneider, J Vom Brocke","smart waste collection processesa case study about smart device implementation",1
2020,"M Knaeble, M Nadj, A Maedche","oracle or teacher a systematic overview of research on interactive labeling for machine learning",0
2020,"M Langner, P Toreini, A Maedche","attention board a quantified-self dashboard for enhancing atention management with eye-tracking",0
2020,"M Nadj, A Maedche, C Schieder","the effect of interactive analytical dashboard features on situation awareness and task performance",0
2020,"M Nadj, M Knaeble, MX Li, A Maedche","power to the oracle design principles for interactive labeling systems in machine learning",0
2020,"M Riar, B Morschheuser, J Hamari, R Zarnekow","how game features give rise to altruism and collective action implications for cultivating cooperation by gamification",3
2020,"N Loewe, M Nadj","physioadaptive systems-a state-of-the-art review and future research directions.",0
2020,"P Toreini, M Langner, A Maedche","using eyetracking for visual attention feedback",2
2020,"S Michalczyk, M Nadj, D Azarfar, A Maedche, C Gr<f6>ger","a stateof-the-art overview and future research avenues of self-service business intelligence and analytics",0
2020,"S Michalczyk, M Nadj, D Azarfar, A Maedche, C Gr<f6>ger","a stateof-the-art overview and future research avenues of self-service business intelligence and analytics.",0
2020,"S Michalczyk, S Scheu","designing an analytical information systems engineering method",0
2020,"S Morana, J Pfeiffer, MTP Adam","user assistance for intelligent systems",1
2020,"S Morana, U Gnewuch, D Jung, C Granig","the effect of anthropomorphism on investment decisionmaking with robo-advisor chatbots",0
2020,"S Morana, U Gnewuch, D Jung, C Granig","the effect of anthropomorphism on investment decisionmaking with robo-advisor chatbots.",0
2020,"T Rietz, F Schneider","we see we disagree insights from designing a cooperative requirements prioritization system [to be published]",0
2020,"U Gnewuch, J Feine, S Morana, A Maedche","soziotechnische gestaltung von chatbots",0
2020,"U Gnewuch, M Yu, A Maedche","the effect of perceived similarity in dominance on customer selfdisclosure to chatbots in conversational commerce",0
